ID,parentID,nameID,status
'Incertae sedis',Anatidae,'Incertae sedis',accepted
Galliformes,Galloanserae,Galliformes,accepted
Sylviornithidae,Galliformes,Sylviornithidae,accepted
Megapodiidae,Galliformes,Megapodiidae,accepted
Cracidae,Galliformes,Cracidae,accepted
Penelopinae,Cracidae,Penelopinae,accepted
Cracinae,Cracidae,Cracinae,accepted
Ortalidaini,Cracinae,Ortalidaini,accepted
Oreophaseini,Cracinae,Oreophaseini,accepted
Cracini,Cracinae,Cracini,accepted
Numididae,Galliformes,Numididae,accepted
Odontophoridae,Galliformes,Odontophoridae,accepted
Ptilopachinae,Odontophoridae,Ptilopachinae,accepted
Odontophorinae,Odontophoridae,Odontophorinae,accepted
Phasianidae,Galliformes,Phasianidae,accepted
Rollulinae,Phasianidae,Rollulinae,accepted
Pavoninae,Phasianidae,Pavoninae,accepted
Incertae sedis,Pavoninae,Incertae sedis,accepted
Pavonini,Pavoninae,Pavonini,accepted
Polyplectronini,Pavoninae,Polyplectronini,accepted
Gallini,Pavoninae,Gallini,accepted
Tetraogallini,Pavoninae,Tetraogallini,accepted
Phasianinae,Phasianidae,Phasianinae,accepted
Ithaginini,Phasianinae,Ithaginini,accepted
Lophophorini,Phasianinae,Lophophorini,accepted
Tetraonini,Phasianinae,Tetraonini,accepted
Phasianini,Phasianinae,Phasianini,accepted
Neoaves,Neognathae,Neoaves,accepted
Columbimorphae,Neoaves,Columbimorphae,accepted
Mesitornithiformes,Columbimorphae,Mesitornithiformes,accepted
Mesitornithidae,Mesitornithiformes,Mesitornithidae,accepted
Pterocliformes,Columbimorphae,Pterocliformes,accepted
Pteroclidae,Pterocliformes,Pteroclidae,accepted
Columbiformes,Columbimorphae,Columbiformes,accepted
Columbidae,Columbiformes,Columbidae,accepted
Columbinae,Columbidae,Columbinae,accepted
Zenaidini,Columbinae,Zenaidini,accepted
Columbini,Columbinae,Columbini,accepted
Claravinae,Columbidae,Claravinae,accepted
Raphinae,Columbidae,Raphinae,accepted
Phabini,Raphinae,Phabini,accepted
Raphini,Raphinae,Raphini,accepted
Treronini,Raphinae,Treronini,accepted
Turturini,Raphinae,Turturini,accepted
Ptilinopini,Raphinae,Ptilinopini,accepted
Otidimorphae,Neoaves,Otidimorphae,accepted
Musophagiformes,Otidimorphae,Musophagiformes,accepted
Musophagidae,Musophagiformes,Musophagidae,accepted
Corythaeolinae,Musophagidae,Corythaeolinae,accepted
Criniferinae,Musophagidae,Criniferinae,accepted
Musophaginae,Musophagidae,Musophaginae,accepted
Otidiiformes,Otidimorphae,Otidiiformes,accepted
Otididae,Otidiiformes,Otididae,accepted
Cuculiformes,Otidimorphae,Cuculiformes,accepted
Cuculidae,Cuculiformes,Cuculidae,accepted
Crotophaginae,Cuculidae,Crotophaginae,accepted
Neomorphinae,Cuculidae,Neomorphinae,accepted
Couinae,Cuculidae,Couinae,accepted
Centropodinae,Cuculidae,Centropodinae,accepted
Cuculinae,Cuculidae,Cuculinae,accepted
Rhinorthini,Cuculinae,Rhinorthini,accepted
Phaenicophaeini,Cuculinae,Phaenicophaeini,accepted
Cuculini,Cuculinae,Cuculini,accepted
Strisores,Neoaves,Strisores,accepted
Caprimulgiformes,Strisores,Caprimulgiformes,accepted
Caprimulgidae,Caprimulgiformes,Caprimulgidae,accepted
Steatornithiformes,Strisores,Steatornithiformes,accepted
Steatornithidae,Steatornithiformes,Steatornithidae,accepted
Nyctibiiformes,Strisores,Nyctibiiformes,accepted
Nyctibiidae,Nyctibiiformes,Nyctibiidae,accepted
Podargiformes,Strisores,Podargiformes,accepted
Podargidae,Podargiformes,Podargidae,accepted
Apodiformes,Strisores,Apodiformes,accepted
Aegothelidae,Apodiformes,Aegothelidae,accepted
Hemiprocnidae,Apodiformes,Hemiprocnidae,accepted
Apodidae,Apodiformes,Apodidae,accepted
Cypseloidinae,Apodidae,Cypseloidinae,accepted
Apodinae,Apodidae,Apodinae,accepted
Collocaliini,Apodinae,Collocaliini,accepted
Chaeturini,Apodinae,Chaeturini,accepted
Apodini,Apodinae,Apodini,accepted
Trochilidae,Apodiformes,Trochilidae,accepted
Florisuginae,Trochilidae,Florisuginae,accepted
Topazini,Florisuginae,Topazini,accepted
Florisugini,Florisuginae,Florisugini,accepted
Phaethornithinae,Trochilidae,Phaethornithinae,accepted
Eutoxerini,Phaethornithinae,Eutoxerini,accepted
Phaethornithini,Phaethornithinae,Phaethornithini,accepted
Polytminae,Trochilidae,Polytminae,accepted
Lesbiinae,Trochilidae,Lesbiinae,accepted
Lesbiini,Lesbiinae,Lesbiini,accepted
Coeligenini,Lesbiinae,Coeligenini,accepted
Trochilinae,Trochilidae,Trochilinae,accepted
Patagonini,Trochilinae,Patagonini,accepted
Lampornithini,Trochilinae,Lampornithini,accepted
Mellisugini,Trochilinae,Mellisugini,accepted
Cynanthini,Trochilinae,Cynanthini,accepted
